Education,Income,Age,Living_With,Total_Children,Kidhome,Teenhome,Recency,Wines,Fruits,Meats,Fish,Sweets,Golds,NumDealsPurchases,Web,Catalog,Store,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,Complain,Country,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Day,Dayofweek,Month,Year,Is_Parent,Total_Spent,Income_Bucket,Age_Group,TotalCampaignsAcc,is_accepted
Graduate,54809.0,47,Partner,2,1,1,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,Spain,0,0,0,1,11,Wednesday,9,2013,1,174,Middle,40-50,1,Accepted
Postgraduate,32173.0,66,Alone,1,0,1,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,Spain,0,0,0,0,1,Thursday,8,2013,1,22,Lower,60-70,0,Not Accepted
Postgraduate,47823.0,64,Alone,1,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,Canada,0,0,0,0,23,Tuesday,7,2013,1,72,Middle,60-70,0,Not Accepted
Postgraduate,30523.0,66,Alone,3,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,Canada,0,0,0,0,1,Monday,7,2013,1,13,Lower,60-70,0,Not Accepted
Postgraduate,36634.0,70,Partner,1,0,1,0,213,9,76,4,3,30,3,5,2,5,7,0,0,0,South Africa,0,0,0,0,28,Tuesday,5,2013,1,335,Middle,60-70,0,Not Accepted
Postgraduate,43456.0,58,Alone,1,0,1,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,India,0,0,0,0,26,Tuesday,3,2013,1,393,Middle,50-60,0,Not Accepted
Postgraduate,40662.0,45,Partner,1,1,0,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,Germany,0,0,0,0,15,Friday,3,2013,1,92,Middle,40-50,0,Not Accepted
Postgraduate,49544.0,48,Partner,1,1,0,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,Spain,0,0,0,0,12,Tuesday,2,2013,1,404,Middle,40-50,0,Not Accepted
Graduate,57731.0,55,Alone,1,0,1,0,266,21,300,65,8,44,4,8,8,6,6,0,0,0,India,0,0,0,0,23,Friday,11,2012,1,704,Middle,50-60,0,Not Accepted
Postgraduate,33168.0,59,Alone,1,0,1,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,Spain,0,0,0,0,13,Saturday,10,2012,1,122,Lower,50-60,0,Not Accepted
Graduate,54450.0,68,Partner,2,1,1,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,Spain,0,0,0,0,14,Friday,9,2012,1,684,Middle,60-70,0,Not Accepted
Graduate,54450.0,68,Partner,2,1,1,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,Spain,0,0,0,0,14,Friday,9,2012,1,684,Middle,60-70,0,Not Accepted
Postgraduate,35340.0,68,Alone,2,1,1,1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,Spain,0,0,0,0,29,Sunday,6,2014,1,45,Middle,60-70,0,Not Accepted
Graduate,73170.0,49,Alone,0,0,0,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,Canada,0,0,0,0,31,Saturday,5,2014,0,726,Upper,40-50,0,Not Accepted
Postgraduate,65808.0,53,Alone,2,1,1,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,Spain,0,0,0,0,30,Friday,5,2014,1,272,Middle,50-60,0,Not Accepted
Graduate,79529.0,38,Partner,0,0,0,1,423,42,706,73,197,197,1,4,8,9,2,0,0,0,Canada,0,0,0,0,27,Sunday,4,2014,0,1638,Upper,30-40,0,Not Accepted
Postgraduate,34578.0,52,Partner,3,2,1,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,Australia,0,0,0,0,11,Friday,4,2014,1,8,Lower,50-60,0,Not Accepted
Postgraduate,46374.0,50,Partner,1,0,1,1,408,0,21,0,0,17,3,7,1,7,8,0,1,0,India,0,1,0,1,17,Monday,3,2014,1,446,Middle,40-50,3,Accepted
Graduate,18351.0,34,Partner,0,0,0,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,Spain,0,0,0,0,29,Tuesday,10,2013,0,43,Lower,30-40,0,Not Accepted
Postgraduate,95169.0,37,Alone,0,0,0,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,0,Spain,1,1,0,1,9,Wednesday,10,2013,0,1901,Upper,30-40,3,Accepted
Postgraduate,65370.0,40,Partner,0,0,0,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,Spain,0,0,0,0,1,Thursday,8,2013,0,461,Middle,30-40,0,Not Accepted
Postgraduate,39228.0,64,Alone,0,0,0,1,7,1,6,0,3,3,1,0,0,3,4,0,0,0,South Africa,0,0,0,0,10,Friday,5,2013,0,20,Middle,60-70,0,Not Accepted
Postgraduate,84865.0,63,Alone,0,0,0,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,0,Spain,1,1,1,1,9,Thursday,5,2013,0,1688,Upper,60-70,5,Accepted
Graduate,61314.0,56,Partner,1,0,1,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,Spain,0,0,0,0,25,Thursday,4,2013,1,1008,Middle,50-60,0,Not Accepted
Graduate,21359.0,52,Alone,1,1,0,1,12,2,17,6,1,10,2,2,0,3,8,0,0,0,Canada,0,0,0,1,20,Saturday,4,2013,1,48,Lower,50-60,1,Accepted
Postgraduate,66465.0,69,Partner,1,0,1,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,Spain,0,1,0,0,30,Saturday,3,2013,1,1485,Middle,60-70,1,Accepted
Postgraduate,81698.0,41,Alone,0,0,0,1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,Spain,0,1,0,1,1,Friday,3,2013,0,1104,Upper,40-50,2,Accepted
Graduate,39146.0,38,Alone,1,1,0,1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,Spain,0,0,0,0,14,Thursday,2,2013,1,165,Middle,30-40,0,Not Accepted
Postgraduate,25959.0,54,Alone,2,1,1,1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,Spain,0,0,0,1,14,Thursday,2,2013,1,56,Lower,50-60,1,Accepted
Graduate,64260.0,63,Partner,0,0,0,1,539,169,816,20,0,30,1,4,5,4,3,0,0,0,Spain,0,0,0,1,11,Friday,1,2013,0,1574,Middle,60-70,1,Accepted
Graduate,32300.0,51,Partner,1,1,0,1,13,3,6,6,5,6,1,1,0,3,8,0,0,0,Spain,0,0,0,0,3,Thursday,1,2013,1,39,Lower,50-60,0,Not Accepted
Postgraduate,74806.0,59,Partner,1,0,1,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,Australia,0,0,0,0,19,Wednesday,12,2012,1,965,Upper,50-60,0,Not Accepted
Graduate,72967.0,54,Alone,1,0,1,1,158,35,179,0,0,125,2,7,2,8,5,1,0,0,Germany,0,0,0,1,15,Saturday,12,2012,1,497,Upper,50-60,2,Accepted
Graduate,48904.0,64,Alone,1,0,1,1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,USA,0,0,0,0,2,Sunday,12,2012,1,371,Middle,60-70,0,Not Accepted
Postgraduate,14796.0,40,Partner,1,1,0,1,13,3,8,7,4,16,2,1,0,3,9,0,0,0,Germany,0,0,0,1,17,Monday,9,2012,1,51,Lower,30-40,1,Accepted
Postgraduate,66991.0,70,Partner,0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,Germany,0,0,0,0,11,Tuesday,9,2012,0,1253,Middle,60-70,0,Not Accepted
Postgraduate,52195.0,46,Alone,3,2,1,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,South Africa,0,0,0,0,12,Monday,5,2014,1,17,Middle,40-50,0,Not Accepted
Graduate,90369.0,68,Partner,0,0,0,2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,Spain,0,0,0,1,28,Monday,4,2014,0,1588,Upper,60-70,1,Accepted
Undergraduate,18393.0,50,Partner,1,1,0,2,7,10,13,16,0,4,2,3,0,3,8,0,0,0,Spain,0,0,0,0,29,Saturday,3,2014,1,50,Lower,40-50,0,Not Accepted
Graduate,47139.0,72,Alone,2,1,1,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,Spain,0,0,0,1,6,Thursday,3,2014,1,83,Middle,70-80,1,Accepted
Postgraduate,38576.0,51,Partner,1,0,1,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,India,0,0,0,0,4,Tuesday,3,2014,1,41,Middle,50-60,0,Not Accepted
Postgraduate,61905.0,49,Partner,1,0,1,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,South Africa,0,0,0,0,4,Tuesday,2,2014,1,231,Middle,40-50,0,Not Accepted
Graduate,83715.0,62,Partner,0,0,0,2,318,8,407,150,35,8,1,2,8,13,0,0,0,0,South Africa,0,0,0,0,3,Monday,2,2014,0,926,Upper,60-70,0,Not Accepted
Graduate,60597.0,60,Partner,1,0,1,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,Spain,0,1,0,1,1,Wednesday,1,2014,1,893,Middle,50-60,2,Accepted
Postgraduate,6560.0,42,Alone,0,0,0,2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,Spain,0,0,0,0,12,Thursday,12,2013,0,373,Lower,40-50,0,Not Accepted
Postgraduate,48330.0,63,Partner,1,0,1,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,Spain,0,0,0,0,15,Friday,11,2013,1,32,Middle,60-70,0,Not Accepted
Postgraduate,38236.0,56,Alone,2,1,1,2,58,0,18,2,0,10,4,3,0,4,7,0,0,0,Spain,0,0,0,0,20,Friday,9,2013,1,88,Middle,50-60,0,Not Accepted
Postgraduate,22701.0,47,Partner,1,1,0,2,2,4,9,0,4,5,1,1,0,3,5,0,0,0,Spain,0,0,0,0,5,Thursday,9,2013,1,24,Lower,40-50,0,Not Accepted
Postgraduate,53367.0,50,Alone,2,1,1,2,229,7,140,10,3,11,7,5,1,8,7,0,0,0,Australia,0,0,0,1,31,Saturday,8,2013,1,400,Middle,40-50,1,Accepted
Graduate,34728.0,38,Partner,1,1,0,2,14,0,16,0,0,6,1,1,1,2,6,0,0,0,Spain,0,0,0,1,30,Tuesday,7,2013,1,36,Lower,30-40,1,Accepted
Postgraduate,63915.0,68,Partner,2,0,2,2,622,7,115,30,0,15,2,6,3,12,5,0,0,0,Australia,0,0,0,0,30,Tuesday,7,2013,1,789,Middle,60-70,0,Not Accepted
Postgraduate,82504.0,64,Partner,0,0,0,2,362,50,431,134,35,54,1,3,6,7,1,0,0,0,India,0,0,0,0,27,Saturday,7,2013,0,1066,Upper,60-70,0,Not Accepted
Postgraduate,38578.0,52,Alone,2,1,1,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,Spain,0,0,0,1,22,Saturday,6,2013,1,73,Middle,50-60,1,Accepted
Postgraduate,38578.0,52,Alone,2,1,1,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,Spain,0,0,0,0,22,Saturday,6,2013,1,73,Middle,50-60,0,Not Accepted
Postgraduate,79174.0,49,Partner,0,0,0,2,1074,37,518,193,92,129,1,5,6,7,2,0,0,0,Canada,1,1,0,1,11,Friday,1,2013,0,2043,Upper,40-50,3,Accepted
Postgraduate,81975.0,62,Alone,1,0,1,2,983,76,184,180,138,27,1,6,3,4,7,0,0,0,South Africa,1,0,0,0,5,Saturday,1,2013,1,1588,Upper,60-70,1,Accepted
Postgraduate,43263.0,47,Partner,1,0,1,2,262,6,61,0,10,102,3,5,2,6,5,0,0,0,Spain,0,0,0,0,21,Wednesday,11,2012,1,441,Middle,40-50,0,Not Accepted
Graduate,27242.0,54,Alone,1,1,0,2,3,17,26,20,1,39,2,2,0,3,9,0,0,0,India,0,0,0,1,11,Sunday,11,2012,1,106,Lower,50-60,1,Accepted
Graduate,76445.0,53,Partner,1,1,0,2,739,107,309,140,80,35,1,2,5,13,6,0,0,0,South Africa,0,0,0,0,28,Friday,9,2012,1,1410,Upper,50-60,0,Not Accepted
Graduate,75276.0,59,Partner,0,0,0,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,Spain,0,0,0,0,27,Thursday,9,2012,0,1040,Upper,50-60,0,Not Accepted
Graduate,34213.0,61,Alone,2,1,1,2,50,4,28,6,3,26,3,3,1,2,9,0,0,0,South Africa,0,0,0,1,7,Friday,9,2012,1,117,Lower,60-70,1,Accepted
Postgraduate,72335.0,48,Partner,0,0,0,2,1285,105,653,28,21,0,1,10,4,8,8,0,0,0,Spain,0,0,0,1,13,Monday,8,2012,0,2092,Upper,40-50,1,Accepted
Postgraduate,79143.0,60,Partner,0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,Australia,0,0,0,0,11,Saturday,8,2012,0,1693,Upper,50-60,0,Not Accepted
Graduate,27469.0,77,Partner,0,0,0,2,9,1,2,3,2,0,1,0,0,3,6,0,0,0,Canada,0,0,0,0,2,Thursday,8,2012,0,17,Lower,70-80,0,Not Accepted
Graduate,68695.0,55,Partner,0,0,0,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,Spain,0,0,0,0,25,Wednesday,6,2014,0,1091,Upper,50-60,0,Not Accepted
Graduate,68695.0,55,Partner,0,0,0,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,Canada,0,0,0,0,25,Wednesday,6,2014,0,1091,Upper,50-60,0,Not Accepted
Graduate,50388.0,67,Alone,1,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,Germany,0,1,0,1,28,Wednesday,5,2014,1,372,Middle,60-70,3,Accepted
Postgraduate,77622.0,54,Partner,2,0,2,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,South Africa,0,0,0,0,14,Monday,4,2014,1,714,Upper,50-60,0,Not Accepted
Graduate,46102.0,62,Alone,3,2,1,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,Spain,0,0,0,0,10,Monday,3,2014,1,16,Middle,60-70,0,Not Accepted
Postgraduate,31859.0,44,Alone,1,1,0,3,3,4,7,15,8,11,1,1,0,3,7,0,0,0,Spain,0,0,0,0,27,Thursday,2,2014,1,48,Lower,40-50,0,Not Accepted
Postgraduate,23830.0,37,Alone,0,0,0,3,1,8,6,4,8,16,1,1,0,3,7,0,0,0,Spain,0,0,0,0,7,Friday,2,2014,0,43,Lower,30-40,0,Not Accepted
Graduate,24639.0,51,Partner,2,1,1,3,20,3,16,0,4,1,3,2,0,4,6,0,0,0,Australia,0,0,0,0,28,Tuesday,1,2014,1,44,Lower,50-60,0,Not Accepted
Postgraduate,71604.0,79,Partner,0,0,0,3,345,53,528,98,75,97,1,8,3,5,4,1,0,0,Spain,0,0,0,1,17,Sunday,11,2013,0,1196,Upper,70-80,2,Accepted
Graduate,27255.0,40,Partner,1,1,0,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,Spain,0,0,0,0,7,Thursday,11,2013,1,37,Lower,30-40,0,Not Accepted
Graduate,55375.0,47,Partner,1,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,Canada,0,0,0,0,17,Thursday,10,2013,1,162,Middle,40-50,0,Not Accepted
Postgraduate,77037.0,64,Partner,1,0,1,3,463,96,333,168,53,10,1,7,7,12,3,0,0,0,Spain,0,0,0,0,13,Sunday,10,2013,1,1123,Upper,60-70,0,Not Accepted
Graduate,24163.0,54,Alone,2,1,1,3,4,1,7,2,1,2,2,1,0,3,4,0,0,0,Spain,0,0,0,0,12,Saturday,10,2013,1,17,Lower,50-60,0,Not Accepted
Postgraduate,69476.0,55,Partner,0,0,0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,USA,0,0,0,0,30,Monday,9,2013,0,1044,Upper,50-60,0,Not Accepted
Graduate,72063.0,45,Partner,1,0,1,3,180,32,348,76,32,90,2,5,2,12,2,0,0,0,Germany,0,0,0,0,3,Wednesday,7,2013,1,758,Upper,40-50,0,Not Accepted
Postgraduate,58646.0,62,Partner,1,0,1,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,Spain,0,0,0,0,10,Monday,6,2013,1,140,Middle,60-70,0,Not Accepted
Postgraduate,58646.0,62,Partner,1,0,1,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,Germany,0,0,0,0,10,Monday,6,2013,1,140,Middle,60-70,0,Not Accepted
Postgraduate,47570.0,75,Alone,2,1,1,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,USA,0,0,0,1,29,Wednesday,5,2013,1,121,Middle,70-80,1,Accepted
Graduate,80011.0,44,Partner,1,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,Australia,0,0,0,0,29,Monday,4,2013,1,1395,Upper,40-50,0,Not Accepted
Postgraduate,54998.0,68,Alone,1,0,1,3,154,22,202,39,30,8,5,4,2,9,4,0,0,0,Spain,0,0,0,1,10,Sunday,3,2013,1,455,Middle,60-70,1,Accepted
Postgraduate,60200.0,76,Alone,1,0,1,3,502,19,132,0,6,26,6,6,2,11,6,0,0,0,Spain,0,0,0,0,2,Wednesday,1,2013,1,685,Middle,70-80,0,Not Accepted
Graduate,63211.0,42,Partner,0,0,0,3,145,193,459,205,26,145,2,3,8,7,2,0,0,0,Spain,0,0,0,1,2,Friday,11,2012,0,1173,Middle,40-50,1,Accepted
Postgraduate,48432.0,51,Alone,1,0,1,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,South Africa,0,0,0,1,18,Thursday,10,2012,1,424,Middle,50-60,1,Accepted
Postgraduate,48432.0,51,Alone,1,0,1,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,Canada,0,0,0,0,18,Thursday,10,2012,1,424,Middle,50-60,0,Not Accepted
Postgraduate,48432.0,51,Alone,1,0,1,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,India,0,0,0,1,18,Thursday,10,2012,1,424,Middle,50-60,1,Accepted
Postgraduate,62845.0,75,Partner,2,1,1,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,Spain,0,0,0,0,1,Monday,10,2012,1,1178,Middle,70-80,1,Accepted
Postgraduate,62845.0,75,Partner,2,1,1,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,Spain,0,0,0,1,1,Monday,10,2012,1,1178,Middle,70-80,2,Accepted
Postgraduate,65220.0,59,Partner,0,0,0,3,890,63,292,0,25,12,4,8,4,7,6,0,0,0,Germany,0,0,0,1,3,Monday,9,2012,0,1282,Middle,50-60,1,Accepted
Postgraduate,74214.0,34,Partner,0,0,0,3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,Spain,0,0,0,0,26,Sunday,8,2012,0,1711,Upper,30-40,0,Not Accepted
Postgraduate,96547.0,44,Partner,0,0,0,4,448,21,125,52,101,62,0,7,6,8,2,1,0,0,Spain,1,1,0,1,23,Friday,5,2014,0,809,Upper,40-50,4,Accepted
Graduate,53863.0,69,Partner,1,0,1,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,Spain,0,0,0,0,17,Saturday,5,2014,1,473,Middle,60-70,1,Accepted
Graduate,50447.0,54,Partner,2,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,India,0,0,0,0,21,Monday,4,2014,1,148,Middle,50-60,0,Not Accepted
Graduate,37716.0,71,Partner,1,0,1,4,97,1,41,6,2,41,2,4,1,3,7,0,0,0,Australia,0,0,0,0,21,Monday,4,2014,1,188,Middle,70-80,0,Not Accepted
Graduate,45203.0,42,Partner,2,2,0,4,35,3,67,10,8,24,1,3,1,3,6,0,0,0,South Africa,0,0,0,1,23,Sunday,3,2014,1,147,Middle,40-50,1,Accepted
Postgraduate,37368.0,49,Partner,1,1,0,4,3,2,11,2,2,10,1,1,0,2,6,1,0,0,Spain,0,0,0,0,16,Monday,12,2013,1,30,Middle,40-50,1,Accepted
Graduate,67225.0,69,Partner,1,0,1,4,315,35,322,46,7,143,3,7,2,11,5,0,0,0,USA,0,0,0,0,26,Tuesday,11,2013,1,868,Middle,60-70,0,Not Accepted
Postgraduate,65104.0,48,Partner,1,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,Canada,0,0,0,1,14,Thursday,11,2013,1,1053,Middle,40-50,1,Accepted
Postgraduate,65104.0,48,Partner,1,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,Spain,0,0,0,0,14,Thursday,11,2013,1,1053,Middle,40-50,0,Not Accepted
Postgraduate,81698.0,75,Partner,0,0,0,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,Spain,0,0,0,1,6,Wednesday,11,2013,0,1008,Upper,70-80,1,Accepted
Graduate,70566.0,56,Alone,1,0,1,4,381,28,215,84,28,21,2,6,5,9,3,0,0,0,Spain,0,0,0,0,6,Sunday,10,2013,1,757,Upper,50-60,0,Not Accepted
Graduate,69096.0,66,Partner,1,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,Germany,0,0,0,0,27,Friday,9,2013,1,653,Upper,60-70,0,Not Accepted
Graduate,71434.0,62,Partner,1,0,1,4,711,36,217,172,96,168,3,7,4,7,4,0,1,0,Spain,0,1,0,0,18,Wednesday,9,2013,1,1400,Upper,60-70,2,Accepted
Graduate,33039.0,46,Partner,1,1,0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,Spain,0,0,0,0,9,Monday,9,2013,1,78,Lower,40-50,0,Not Accepted
Graduate,33039.0,46,Partner,1,1,0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,Canada,0,0,0,0,9,Monday,9,2013,1,78,Lower,40-50,0,Not Accepted
Graduate,46610.0,66,Partner,0,0,0,4,288,10,30,4,10,125,1,6,1,6,6,0,0,0,Spain,0,0,0,0,18,Thursday,7,2013,0,467,Middle,60-70,0,Not Accepted
Graduate,49967.0,66,Alone,1,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,Canada,0,0,0,0,8,Monday,7,2013,1,306,Middle,60-70,0,Not Accepted
Graduate,53359.0,48,Partner,2,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,USA,0,0,0,0,27,Monday,5,2013,1,257,Middle,40-50,0,Not Accepted
Postgraduate,49505.0,53,Partner,2,1,1,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,Spain,0,0,0,0,5,Tuesday,3,2013,1,751,Middle,50-60,0,Not Accepted
Postgraduate,68657.0,78,Partner,0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,Australia,0,0,0,0,20,Wednesday,2,2013,0,1196,Upper,70-80,0,Not Accepted
Graduate,72071.0,70,Alone,1,0,1,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,Spain,0,0,0,0,14,Thursday,2,2013,1,1338,Upper,60-70,0,Not Accepted
Graduate,72071.0,70,Alone,1,0,1,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,Canada,0,0,0,0,14,Thursday,2,2013,1,1338,Upper,60-70,0,Not Accepted
Postgraduate,59235.0,57,Alone,1,1,0,4,448,40,469,80,0,91,3,11,2,12,7,0,0,0,India,0,0,0,0,12,Saturday,1,2013,1,1128,Middle,50-60,0,Not Accepted
Graduate,21994.0,67,Partner,1,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,Australia,0,0,0,0,24,Monday,12,2012,1,22,Lower,60-70,0,Not Accepted
Graduate,21994.0,67,Partner,1,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,Spain,0,0,0,0,24,Monday,12,2012,1,22,Lower,60-70,0,Not Accepted
Graduate,69209.0,52,Partner,0,0,0,4,496,32,849,229,48,128,2,5,3,6,4,0,0,0,Canada,0,1,0,0,17,Monday,9,2012,0,1782,Upper,50-60,1,Accepted
Graduate,31928.0,35,Partner,1,1,0,5,33,4,24,4,2,5,2,3,0,4,7,0,0,0,India,0,0,0,0,28,Friday,3,2014,1,72,Lower,30-40,0,Not Accepted
Postgraduate,74004.0,37,Alone,0,0,0,5,784,48,560,42,176,48,1,4,6,4,3,0,0,0,India,1,1,0,1,24,Monday,2,2014,0,1658,Upper,30-40,3,Accepted
Postgraduate,30390.0,37,Partner,0,0,0,5,10,12,12,25,1,20,1,2,0,3,6,0,0,0,India,0,0,0,0,2,Monday,9,2013,0,80,Lower,30-40,0,Not Accepted
Graduate,21355.0,39,Partner,1,1,0,5,5,13,14,0,5,31,2,2,1,2,6,1,0,0,USA,0,0,0,1,20,Tuesday,8,2013,1,68,Lower,30-40,2,Accepted
